Q1A,Q1B,Q1C,Q1D,Q1E,Q2A,Q2B,Q2C,Q2D,Q2E
1,0,0,0,0,0,1,1,0,0
1,0,0,0,1,0,0,1,1,1
0,1,0,0,1,1,0,1,1,0
1,1,0,1,1,0,1,0,1,1
1,1,1,0,1,1,1,1,1,0
0,1,1,1,1,0,1,1,1,1
0,1,1,1,1,1,1,0,0,0
0,1,1,1,1,0,1,1,0,1
1,0,1,1,1,1,0,1,1,0
1,1,0,1,1,1,1,1,1,0
1,1,1,0,1,1,1,0,1,1
1,1,1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,0,1,1,0
0,1,0,0,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,0,1,1,0,0
0,0,0,0,1,1,1,0,0,1
0,1,0,0,0,1,1,0,1,0
0,1,0,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,0
0,0,0,0,0,0,1,0,0,0
1,0,1,1,1,1,1,1,1,1
1,1,1,1,0,0,1,1,0,1
0,1,1,1,1,1,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,1,1,1,1,0,0,1,0,1
0,0,0,1,1,1,0,0,0,0
0,1,1,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,1,0,1,0
1,1,0,0,1,1,1,0,0,0
1,1,1,0,1,1,0,1,0,0
1,1,1,0,1,1,1,1,0,0
1,1,1,1,1,1,1,0,0,0
1,0,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,1,1,0,1,1
1,1,1,1,1,1,0,1,0,1
1,1,0,0,1,1,1,0,1,0
1,1,1,1,0,0,1,1,0,0
1,1,0,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1
0,1,0,0,1,0,1,0,0,0
0,1,1,0,1,1,1,0,1,0
1,1,0,0,1,1,1,1,0,0
1,1,1,1,1,1,0,1,1,1
0,0,1,1,1,1,1,1,0,0
1,0,1,1,1,1,0,0,0,1
1,0,1,0,0,1,0,1,1,0
1,0,0,1,0,1,1,1,1,1
1,1,1,0,1,1,1,1,1,0
1,0,1,1,0,0,1,1,0,1
1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,0,0,0,0
1,1,1,1,1,0,1,0,1,1
1,1,1,1,1,1,1,1,1,0
0,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1,1
0,1,0,1,1,1,0,1,0,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,1,1,0,1,0
0,1,0,0,0,1,1,1,0,1
1,1,1,1,1,1,1,1,0,1
1,0,0,0,1,1,1,1,0,0
1,1,0,0,1,1,1,1,0,0
0,1,1,1,1,1,0,1,0,1
0,1,0,1,1,1,1,0,0,0
1,0,0,1,1,1,1,1,0,0
0,0,1,1,1,1,1,1,0,0
1,1,1,0,1,1,1,1,1,1
0,0,0,0,1,0,0,1,1,0
1,1,1,0,1,1,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,1,0,1,0,1,0,1,0,0
1,1,1,0,1,1,0,0,0,1
1,1,1,1,0,0,1,1,0,1
1,1,1,1,1,0,1,0,1,0
1,1,1,1,1,1,1,0,0,0
1,1,0,1,1,1,0,1,1,1
0,1,0,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,0,0
0,1,0,1,1,1,1,0,1,0
1,1,0,0,1,0,1,1,1,0
1,0,1,1,1,1,1,1,1,1
1,0,1,1,0,1,0,0,1,1
0,1,1,1,1,0,1,1,0,1
0,1,0,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,0,1,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1
1,1,0,0,1,1,1,0,1,0
1,1,0,0,1,0,1,1,0,1
1,1,0,0,1,0,0,0,0,0
1,0,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1
0,1,1,0,0,0,1,0,0,0
1,1,0,1,0,1,1,1,0,0
1,1,1,1,1,0,1,1,1,1
1,0,0,1,1,1,0,1,1,0
1,0,1,0,1,0,1,1,1,0
1,1,0,1,1,1,0,1,0,1
1,1,1,0,1,1,1,0,1,1
1,1,1,0,1,1,1,1,0,1
0,1,1,1,1,1,0,0,0,1
0,1,1,0,1,1,1,0,0,1
1,1,0,1,1,1,1,0,0,0
1,1,1,1,1,0,1,1,1,0
1,1,0,1,1,1,0,0,1,1
1,1,1,1,1,1,1,1,1,0
0,1,1,1,1,0,1,1,1,0
0,1,0,0,1,1,0,1,0,0
1,1,1,0,1,1,1,1,1,0
1,1,1,0,1,1,1,1,1,0
1,1,1,1,1,1,1,1,0,1
0,1,1,1,1,1,1,1,1,0
1,1,0,0,1,1,1,1,1,1
1,0,0,1,1,0,1,0,1,0
0,1,1,0,1,1,1,1,1,1
1,0,0,0,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,0,0,1
1,0,0,0,1,1,1,0,1,1
1,0,1,0,1,0,1,0,1,0
0,1,0,1,1,0,0,0,0,0
1,1,0,1,0,1,0,1,1,0
1,1,0,1,1,0,1,1,0,1
1,0,1,0,1,1,1,1,0,1
1,0,1,1,0,0,1,1,0,1
1,1,1,1,1,1,0,1,1,1
1,0,1,1,0,0,1,1,0,1
1,1,1,0,1,1,1,1,1,0
1,1,1,0,0,0,1,1,1,1
1,1,0,0,1,1,1,1,0,1
1,0,1,1,1,1,1,0,0,1
0,0,1,1,1,1,0,1,0,1
0,0,1,1,0,1,0,0,1,1
1,0,0,0,1,1,1,0,0,1
1,1,1,1,1,1,0,0,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,1
0,1,1,1,0,1,1,1,1,1
1,1,0,0,1,1,0,1,0,1
0,1,0,0,1,0,0,1,1,1
0,1,1,0,1,1,1,0,0,1
1,1,1,0,1,1,1,1,0,1
0,0,1,1,1,1,1,1,1,0
1,0,1,0,1,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,0,0
0,1,1,0,1,0,1,1,1,1
0,1,0,1,1,1,0,1,0,1
0,1,1,1,0,1,0,0,1,1
0,1,0,0,1,1,1,0,0,0
0,1,0,0,1,0,0,0,0,0
